pro_com_t,mail
001001,protocollo@comune.aglie.to.it
001002,protocollo@comune.airasca.to.it
001004,albiano.divrea@ruparpiemonte.it
001006,segreteria@comune.almese.to.it
001007,segreteria.sindaco@comune.alpette.to.it
001008,urp@comune.alpignano.to.it
001009,protocollo@comune.andezeno.to.it
001010,andrate@ruparpiemonte.it
001011,segreteria@comune.angrogna.to.it
001013,segreteria.avigliana@ruparpiemonte.it
001014,azeglio@ruparpiemonte.it
001015,info@comune.bairo.to.it
001016,segreteria@comune.balangero.to.it
001018,segreteria.baldissero.torinese@ruparpiemonte.it
001019,info@comune.balme.to.it
001021,sindaco.barbania@ruparpiemonte.it
001022,segreteria@bardonecchia.it
001023,info@comune.barone.to.it
001024,ced@comune.beinasco.to.it
001025,info@comune.bibiana.to.it
001026,info@comune.bobbiopellice.to.it
001027,info@comune.bollengo.to.it
001028,ufficio.protocollo@comune.borgaro-torinese.to.it
001029,info@comune.borgiallo.to.it
001030,protocollo@comune.borgofranco.to.it
001031,info@comune.borgomasino.to.it
001033,comune@bosconerocanavese.it
001035,bricherasio@ruparpiemonte.it
001036,brosso@ruparpiemonte.it
001037,info@comune.brozolo.to.it
001038,comune@comune.bruino.to.it
001039,protocollo@comune.brusasco.to.gov.it
001040,ragioneria@comune.bruzolo.to.it
001041,info@comune.buriasco.to.it
001042,info@comune.burolo.to.it
001043,responsabiletributi.busano@ruparpiemonte.it
001046,info@comune.cafasse.to.it
001047,protocollo@comune.caluso.to.it
001048,info@comune.cambiano.to.it
001049,protocollo@comune.campiglionefenile.to.it
001051,protocollo@comune.candiolo.torino.it
001052,info@comune.canischio.to.it
001053,segreteria@comune.cantalupa.to.it
001054,municipio@comune.cantoira.to.it
001055,caprie@comune.caprie.to.it
001056,info@comune.caravino.to.it
001057,caremasegreteria@eponet.it
001059,sindaco@comune.carmagnola.to.it
001060,segreteria@comune.casalborgone.to.it
001062,segreteria@comune.caselette.to.it
001063,protocollo@comune.caselle-torinese.to.it
001064,segreteria@comunedicastagnetopo.it
001065,info@comune.castagnolepiemonte.to.it
001067,ragioneria@castelnuovo-nigra.it
001068,info@comune.castiglionetorinese.to.it
001069,ragioneria@comune.cavagnolo.to.it
001070,protocollo@comune.cavour.to.it
001072,anagrafe@comune.ceres.to.it
001073,ceresole.reale@ruparpiemonte.it
001074,info@comune.cesana.to.it
001075,chialamberto@reteunitaria.piemonte.it
001077,info@comune.chiaverano.to.it
001078,protocollo@comune.chieri.to.it
001079,info@comune.chiesanuova.to.it
001080,info@comune.chiomonte.to.it
001082,protocollo@comune.chivasso.to.it
001084,cintano@ruparpiemonte.it
001085,protocollo@comune.cinzano.to.it
001086,protocollo@comune.cirie.to.it
001087,info@comune.claviere.to.it
001088,ufficiopersonale@comune.coassolo.to.it
001089,segreteriacomunale@comune.coazze.to.it
001091,info@comune.collerettocastelnuovo.to.it
001092,colleretto.giacosa@canavese.to.it
001093,protocollo@comune.condove.to.it
001094,info@comune.corio.to.it
001095,info@comune.cossano.to.it
001098,staff@comune.cuorgne.to.it
001101,protocollo@comune.favria.to.it
001102,info@comune.feletto.to.it
001103,comune.fenestrelle@perosa.it
001104,segreteria@comune.fiano.to.it
001106,sindaco@comune.foglizzo.to.it
001108,info@comune.frassinetto.to.it
001109,front@comune.front.to.it
001110,comune.frossasco@comunefrossasco.it
001111,protocollo@comune.garzigliana.to.it
001112,protocollo@comune.gassino.to.it
001113,segreteria@municipiodigermagnano.it
001114,info@comune.giaglione.to.it
001115,protocollo@giaveno.it
001116,segreteria@comune.givoletto.to.it
001117,info@comune.gravere.to.it
001118,info@comune.groscavallo.to.it
001119,tributi@comune.grosso.to.it
001120,protocollo@comune.grugliasco.to.it
001121,info@comune.ingria.to.it
001122,comune.inverso@alpimedia.it
001123,posta@comune.isolabella.to.it
001124,comune.issiglio@libero.it
001129,info@comune.lauriano.to.it
001130,protocollo@comune.leini.to.it
001131,info@comune.lemie.to.it
001132,sindaco@comune.lessolo.to.it
001134,locana@ruparpiemonte.it
001135,segreteria@comune.lombardore.to.it
001136,info@comune.lombriasco.to.it
001137,loranze@reteunitaria.piemonte.it
001139,areaamministrativa@comune.luserna.to.it
001140,anagrafe@lusernetta.gov.it
001141,lusiglie@ruparpiemonte.it
001142,demografici@comune.macello.to.it
001143,info@comune.maglione.to.it
001144,info@comune.marentino.to.it
001145,comunemassello@alpimedia.it
001147,tributi@comune.mattie.to.it
001149,info@comune.meanadisusa.to.it
001152,info@comune.mezzenile.to.it
001153,mombello.di.torino@ruparpiemonte.it
001154,info@comune.mompantero.to.it
001155,comunedimonastero.to@libero.it
001157,info@comune.moncenisio.to.it
001158,ragioneria@comune.montaldotorinese.to.it
001159,ragioneria@comune.montalenghe.to.it
001160,sindaco@comune.montalto-dora.to.it
001162,anagrafe@comune.monteudapo.to.it
001163,info@comune.moriondo.to.it
001165,cnoasca@eurexnet.it
001166,info@comune.nole.to.it
001167,nomaglio@reteunitaria.piemonte.it
001168,protocollo@comune.none.to.it
001170,ragioneria@comune.oglianico.to.it
001171,protocollo@comune.orbassano.to.it
001173,protocollo@comune.osasco.to.it
001174,anagrafe@comune.osasio.to.it
001176,info@comune.ozegna.to.it
001180,info@comune.pavarolo.to.it
001181,servizi.generali@comune.pavone.to.it
001183,info@comune.pecetto.to.it
001184,segreteria.perosa.argentina@ruparpiemonte.it
001185,protocollo@comune.perosa-canavese.to.it
001188,anagrafe@comune.pessinetto.to.it
001189,urp@comune.pianezza.to.it
001190,segreteria@comune.pinasca.to.it
001193,segreteria@comune.piobesi.to.it
001196,comune.piverone@comune.piverone.to.it
001198,pomaretto@ruparpiemonte.it
001199,info@comune.pontcanavese.to.it
001200,segretario@comune.porte.to.it
001201,amministrativa@comune.pragelato.to.it
001202,prali@ruparpiemonte.it
001203,posta@comune.pralormo.to.it
001204,pramollo@ruparpiemonte.it
001206,comune@comune.prascorsano.to.it
001207,info@comune.pratiglione.to.it
001208,quagliuzzo@ruparpiemonte.it
001209,quassolo@ruparpiemonte.it
001211,protocollo@comune.reano.to.it
001212,amministrazione@comune.ribordone.to.it
001213,comunerivalba@tin.it
001215,info@comune.rivapressochieri.to.it
001216,segreteria@comune.rivara.to.it
001217,comune@rivarolocanavese.it
001218,ragioneria@comune.rivarossa.to.it
001220,comune@comune.robassomero.to.it
001222,demografici@comune.roletto.to.it
001224,ragioneria@comune.roncocanavese.to.it
001226,crora@dag.it
001228,protocollo@comune.rosta.to.it
001230,affarigenerali@comune.rueglio.to.it
001231,info@comune.salassa.to.it
001232,info@comune.salbertrand.to.it
001233,responsabiletributi.salerano.canavese@ruparpiemonte.it
001234,comune.salza@dag.it
