pro_com_t,pec
001001,protocollo@pec.comune.aglie.to.it
001002,airasca@postemailcertificata.it
001003,comunealadistura@pec.it
001004,albiano.divrea@cert.ruparpiemonte.it
001006,comune.almese.to@cert.legalmail.it
001007,comune.alpette.to@legalmail.it
001008,protocollo.alpignano@cert.legalmail.it
001009,comune.andezeno.to@legalmail.it
001010,andrate@cert.ruparpiemonte.it
001011,angrogna@cert.ruparpiemonte.it
001012,arignano.torino@legalmail.it
001013,comuneavigliana@cert.legalmail.it
001014,protocollo.azeglio@cert.ruparpiemonte.it
001015,bairo@postemailcertificata.it
001016,segreteria.balangero@pec.it
001017,segreteria.baldisserocanavese@actaliscertymail.it
001018,anagrafe.baldissero.torinese@cert.ruparpiemonte.it
001019,balme@pec.comune.balme.to.it
001020,banchette@cert.ruparpiemonte.it
001021,barbania@cert.ruparpiemonte.it
001022,comune.bardonecchia@pec.it
001023,barone.canavese@cert.ruparpiemonte.it
001024,protocollo@comune.beinasco.legalmail.it
001025,postacert@pec.comunebibiana.it
001026,protocollo.comunebobbiopellice@pec.it
001027,comune.bollengo.to@legalmail.it
001028,comune.borgaro-torinese.to@cert.legalmail.it
001029,borgiallo@cert.ruparpiemonte.it
001030,comune.borgofrancodivrea@pec.it
001031,ragioneria.comune.borgomasino@pec.it
001032,protocollo@pec.comune.borgonesusa.to.it
001033,bosconero@cert.ruparpiemonte.it
001034,protocollo.comune.brandizzo.to@legalmail.it
001035,bricherasio@pcert.it
001036,brosso@cert.ruparpiemonte.it
001037,comunebrozolo@pec.it
001038,comune.bruino.to@cert.legalmail.it
001039,brusasco@cert.ruparpiemonte.it
001040,comune.bruzolo@anutel.it
001041,protocollo@pec.comune.buriasco.to.it
001042,protocollo@pec.comuneburolo.it
001043,busano@cert.ruparpiemonte.it
001044,bussoleno@postemailcertificata.it
001045,comune@pec.comune.buttiglieraalta.to.it
001046,comune.cafasse@pec.it
001047,protocollo@pec.comune.caluso.to.it
001048,comune.cambiano@legalmail.it
001049,protocollo@cert.comune.campiglionefenile.to.it
001050,candia.canavese@cert.ruparpiemonte.it
001051,comune.candiolo.to@cert.legalmail.it
001052,canischio@cert.ruparpiemonte.it
001053,protocollo@pec.comune.cantalupa.to.it
001054,comune.cantoira@legalmail.it
001055,comune.caprie.to@legalmail.it
001056,caravino@cert.ruparpiemonte.it
001057,comune.carema@pec.comune.carema.to.it
001058,protocollo@cert.comune.carignano.to.it
001059,protocollo.carmagnola@cert.legalmail.it
001060,casalborgone@postemailcertificata.it
001061,cascinette@pec.comune.cascinette.to.it
001062,comune.caselette.to@legalmail.it
001063,comune.caselle-torinese@legalmail.it
001064,comune.castagnetopo.to@legalmail.it
001065,info@pec.castagnolepiemonte.net
001066,protocollo@pec.comune.castellamonte.to.it
001067,comune.castelnuovonigra@pec.it
001068,comune.castiglionetorinese.to@cert.legalmail.it
001069,cavagnolo@cert.ruparpiemonte.it
001070,protocollo@pec.comune.cavour.to.it
001071,ragioneria@pec.comune.cercenasco.to.it
001072,comune.ceres@pec.comune.ceres.to.it
001073,ceresole.reale@cert.ruparpiemonte.it
001074,comunecesana@legalmail.it
001075,comchialamberto@pec.it
001076,segreteria@pec.comune.chianocco.to.it
001077,pec@pec.comune.chiaverano.to.it
001078,protocollo.chieri@pcert.it
001079,comchiesanuova@postecert.it
001080,segreteria.chiomonte@pec.it
001081,protocollo.chiusa.san.michele@cert.ruparpiemonte.it
001082,protocollo@pec.comune.chivasso.to.it
001083,ciconio@cert.ruparpiemonte.it
001084,cintano@cert.ruparpiemonte.it
001085,comune.cinzanotorino.to@cert.legalmail.it
001086,protocollo.cirie@cert.ruparpiemonte.it
001087,comuneclaviere@legalmail.it
001088,ragioneria.comune.coassolo@documentipec.com
001089,protocollo@pec.comune.coazze.to.it
001090,posta@cert.comune.collegno.to.it
001091,colleretto.castelnuovo@cert.ruparpiemonte.it
001092,colleretto.giacosa@cert.ruparpiemonte.it
001093,comune.condove.to@legalmail.it
001094,info@pec.comune.corio.to.it
001095,protocollo.cossano.canavese@cert.ruparpiemonte.it
001096,cuceglio@cert.ruparpiemonte.it
001097,comune.cumiana.to@legalmail.it
001098,comune.cuorgne.to.it@pec.it
001099,comune.druento.to@legalmail.it
001100,comune.exilles@legalmail.it
001101,segreteria.favria@pec.it
001102,protocollo.feletto@pec.it
001103,fenestrelle@postemailcertificata.it
001104,fiano@postemailcertificata.it
001105,fiorano.canavese@cert.ruparpiemonte.it
001106,foglizzo@cert.ruparpiemonte.it
001107,fornocanavese@postemailcertificata.it
001108,comune.frassinetto@pec.it
001109,comune.front@pec.it
001110,comune.frossasco.to@legalmail.it
001111,garzigliana@cert.ruparpiemonte.it
001112,gassino@cert.ruparpiemonte.it
001113,segreteria.protocollo@pcert.postecert.it
001114,comune.giaglione@actaliscertymail.it
001115,protocollo@cert.comune.giaveno.to.it
001116,segreteria@pec.comune.givoletto.to.it
001117,gravere@cert.ruparpiemonte.it
001118,info@pec.comune.groscavallo.to.it
001119,grosso@pcert.it
001120,grugliasco@cert.ruparpiemonte.it
001121,protocollo@pec.comune.ingria.to.it
001122,comune.inverso@legalmail.it
001123,isolabella@cert.ruparpiemonte.it
001124,comune.issiglio@postecert.it
001125,protocollo@pec.comune.ivrea.to.it
001126,la.cassa@cert.ruparpiemonte.it
001127,protocollo.laloggia@legalmail.it
001128,comune.lanzotorinese@legalmail.it
001129,lauriano@cert.ruparpiemonte.it
001130,comune.leini.to@cert.legalmail.it
001131,lemie@pcert.it
001132,comune.lessolo.to@cert.legalmail.it
001133,levone@cert.ruparpiemonte.it
001134,locana@actaliscertymail.it
001135,amministrativo.lombardore@pec.it
001136,protocollo@pec.comune.lombriasco.to.it
001137,tributi.loranze@anutel.it
001139,protocollo@pec.comune.luserna.to.it
001140,comune.lusernetta.to@legalmail.it
001141,lusiglie@cert.ruparpiemonte.it
001142,protocollo@pec.comune.macello.to.it
001143,protocollo.maglione@cert.ruparpiemonte.it
001144,comune.marentino@legalmail.it
001145,massello@cert.ruparpiemonte.it
001146,protocollo@pec.comune.mathi.to.it
001147,comune.mattie@actaliscertymail.it
001148,comune.mazze@postecert.it
001149,meanadisusa@postemailcertificata.it
001150,mercenasco@cert.ruparpiemonte.it
001152,mezzenile@cert.ruparpiemonte.it
001153,mombello.di.torino@cert.ruparpiemonte.it
001154,certificata@pec.comune.mompantero.to.it
001155,monastero.di.lanzo@cert.ruparpiemonte.it
001156,protocollo@cert.comune.moncalieri.to.it
001157,comune.moncenisio@legalmail.it
001158,comune.montaldotorinese.to@cert.legalmail.it
001159,ragioneria.comune.montalenghe@pec.it
001160,protocollo.montalto.dora@cert.ruparpiemonte.it
